StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_6,Q13_7,Q13_8,Q13_9,Q13_12,Q13_13,Q13_14,Q13_15,Q14,Q15
2024-01-02T22:49:00Z,2024-01-02T22:52:08Z,IP Address,73.151.101.137,100,188,TRUE,2024-01-02T22:52:09Z,R_6FsVcTPSSoJvLOb,NA,NA,NA,NA,38.4063,-121.4287,anonymous,EN,Even mix of nervous and excited,Being able to understand the material! I was really good at MSB 325 but understanding it sometimes was extremely difficult,Learning more hard skills that I can put on my resume!,Is it only R? Or do we learn other languages or programs too?,Product development would be cool!,Yes,Not sure what the question is asking..,Working for an airline like Delta in their marketing department,3 classes,Yes,Somewhat prepared,Learning Suite,NA,Monday early afternoon,Monday late afternoon,NA,NA,Wednesday early afternoon,NA,NA,Friday morning,Friday early afternoon,Friday late afternoon,24,Male
2024-01-02T22:51:11Z,2024-01-02T22:54:41Z,IP Address,47.231.69.2,100,209,TRUE,2024-01-02T22:54:42Z,R_5CkdMiDmamG8Ntf,NA,NA,NA,NA,21.6444,-157.9184,anonymous,EN,Even mix of nervous and excited,I feel like there’s so much to learn and I’m a little worried I won’t be able to keep up.,I’ve always thought analytics were so interesting so I’m excited to see more of what that looks like in the real business world.,What tools will be most useful for the current and future marketing world,New product development,Yes,New project development,Marketing analytics for tech company or the Church,1 class,No,NA,Learning Suite,NA,NA,Monday late afternoon,Tuesday late afternoon,NA,NA,Wednesday late afternoon,Thursday late afternoon,NA,NA,Friday late afternoon,22,Female
2024-01-02T23:05:31Z,2024-01-02T23:07:55Z,IP Address,75.237.147.88,100,144,TRUE,2024-01-02T23:07:56Z,R_6XuHGGbmaHEWCWd,NA,NA,NA,NA,33.5141,-112.1235,anonymous,EN,Even mix of nervous and excited,Seeing if I will be able to actually learn the language on my own instead of always relying on others/the internet.,Being able to learn the new language!,Will I actually use this in my career?,Projection of brand development.,No,NA,No idea,2 classes,Yes,Somewhat prepared,Canvas,NA,Monday early afternoon,Monday late afternoon,Tuesday late afternoon,NA,Wednesday early afternoon,Wednesday late afternoon,Thursday late afternoon,NA,NA,NA,23,Male
2024-01-02T23:06:33Z,2024-01-02T23:09:34Z,IP Address,107.133.138.97,100,181,TRUE,2024-01-02T23:09:34Z,R_5aFz5uBo9PpUv8U,NA,NA,NA,NA,33.9243,-117.6105,anonymous,EN,Even mix of nervous and excited,Failing. I just want to understand everything in R code without doubting. myself.,I think analytics is so cool. You get to analyze data in such an interesting way.,What does the class structure look like?,Financials.,No,NA,Working for the FBI,2 classes,Yes,Somewhat prepared,Canvas,NA,Monday early afternoon,NA,NA,NA,Wednesday early afternoon,NA,NA,Friday morning,Friday early afternoon,NA,21,Female
2024-01-02T23:46:25Z,2024-01-02T23:50:07Z,IP Address,67.161.214.65,100,221,TRUE,2024-01-02T23:50:08Z,R_7bMi2G77ofy4TRL,NA,NA,NA,NA,40.2584,-111.6591,anonymous,EN,More excited than nervous,homework assignments that are very time consuming,"learning how to use R in a way that I can directly apply to my internship and future career
getting better at using data to make informed choices",will my future jobs use these skills?,those all sound so cool! my summer internship is in consumer insights with a CPG company so I am excited to learn about data in that realm,Yes,"visitor retention at BYU MOA
customer retention with Lola Blankets",working in consumer insights with Nielsen IQ or Circana or in similar field,1 class,Yes,Somewhat prepared,Canvas,Monday morning,NA,NA,Tuesday late afternoon,Wednesday morning,NA,NA,Thursday late afternoon,Friday morning,Friday early afternoon,Friday late afternoon,21,Female
2024-01-03T00:20:36Z,2024-01-03T00:25:49Z,IP Address,24.30.57.32,100,312,TRUE,2024-01-03T00:25:49Z,R_5QxPufscLyRzMfh,NA,NA,NA,NA,34.0389,-84.3826,anonymous,EN,More excited than nervous,"Business Analytics did a lot of hand holding, so I’m afraid of failing without having that.",Developing hard skills that can be directly used in my career,N/A,New product development,No,NA,Doing research and analytics for product development,2 classes,Yes,Somewhat prepared,Canvas,NA,Monday early afternoon,NA,NA,NA,Wednesday early afternoon,NA,NA,NA,Friday early afternoon,NA,23,Female
2024-01-03T00:22:37Z,2024-01-03T00:26:00Z,IP Address,172.56.200.137,100,202,TRUE,2024-01-03T00:26:00Z,R_5ga6WmVeqwvbf0J,NA,NA,NA,NA,43.6165,-116.2001,anonymous,EN,Even mix of nervous and excited,I had a really hard semester in 401 and I heard this is an impossible class if you don’t underarm and 401,Learn analytics for my future internships,If AI will take this part of marketing in future years and how can we prepared for that,"New product development, customer satisfaction, brand health",No,NA,Have my own company helping people in Latin America,None,No,NA,Learning Suite,NA,NA,NA,Tuesday late afternoon,Wednesday morning,Wednesday early afternoon,Wednesday late afternoon,Thursday late afternoon,Friday morning,Friday early afternoon,Friday late afternoon,24,Male
2024-01-03T00:44:29Z,2024-01-03T00:51:11Z,IP Address,107.122.177.13,100,402,TRUE,2024-01-03T00:51:12Z,R_7kor2dG5C4DXYuR,NA,NA,NA,NA,40.75,-111.9209,anonymous,EN,More excited than nervous,Being less analytical than other students,Excited to improve upon the foundational skills I learned in Business Analytics,What kind of careers can I get if I love using R,Customer acquisition,No,NA,Owning my own B&B. But using data to make business decisions.,1 class,Yes,Extremely prepared,Learning Suite,NA,NA,NA,NA,NA,NA,NA,NA,Friday morning,Friday early afternoon,Friday late afternoon,24,Male
2024-01-03T03:00:22Z,2024-01-03T03:03:12Z,IP Address,67.172.235.197,100,169,TRUE,2024-01-03T03:03:13Z,R_63lH1PaTU5sQmi3,NA,NA,NA,NA,40.627,-111.8121,anonymous,EN,Even mix of nervous and excited,I didn't feel super comfortable learning R/I don't feel like I retained a lot from last semester.,I'm excited to grow my knowledge of analytics and better understand data!,Is this class going to be more interpreting vs coding etc.,All three mentioned above!,No,NA,Data analyst I think!,2 classes,Yes,Somewhat unprepared,Canvas,NA,NA,Monday late afternoon,Tuesday late afternoon,NA,NA,Wednesday late afternoon,Thursday late afternoon,Friday morning,Friday early afternoon,Friday late afternoon,20,Female
2024-01-03T04:28:14Z,2024-01-03T04:30:47Z,IP Address,209.45.90.130,100,152,TRUE,2024-01-03T04:30:47Z,R_5JCOCmorxGetXdS,NA,NA,NA,NA,4.5981,-74.0799,anonymous,EN,Extremely nervous,"Not knowing the material, and tests being hard",To be able to learn so I can use this in my future jobs,Is this manageable?,"Brand health, new product delelopment",No,NA,Brand or product marketing,None,No,NA,Learning Suite,NA,NA,NA,NA,NA,NA,NA,NA,Friday morning,NA,NA,23,Female
